post_id,count,dw_page_sk,dw_eff_dt,page_path_tx,conf_page_path_tx,page_hier_lvl1_nm,parent_page_sk,http_return_cd,nldt_type_cd,page_vertical_tx,dw_last_updt_ts,dw_load_ts
"87044","2","996424","2015-07-23","search/undefined/blog/tips/balance-transfer-credit-card-limit-too-low","search/undefined/blog/tips/balance-transfer-credit-card-limit-too-low","Credit Cards","996424","404","L","Credit Cards","2016-07-18 04:17:23","2016-06-22 22:04:03"
"117916","11","995759","2015-08-07","search/undefined/blog/cities/top-lgbt-friendly-cities-2015","search/undefined/blog/cities/top-lgbt-friendly-cities-2015","Mortgages","995759","404","N","Mortgages","2016-07-18 04:17:23","2016-06-22 22:04:03"
"84156","1","349744","2015-08-14","blog/uncategorized/apr-vs-interest-rate-does-the-difference-matter-your-credit-card","blog/uncategorized/apr-vs-interest-rate-does-the-difference-matter-your-credit-card","Credit Cards","349744","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-16 08:11:52"
"95005","2","349511","2015-08-15","blog/uncategorized/lease-car-fair-credit","blog/uncategorized/lease-car-fair-credit","Personal Finance","349511","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-16 08:11:52"
"100413","1","332969","2015-03-09","blog/tips/credit-score/secured-credit-card-rewards-features","blog/tips/credit-score/secured-credit-card-rewards-features","Credit Cards","332969","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-10 11:14:08"
"116864","1","345217","2015-05-19","blog/credit-cards/pay-monthly-bills-with-credit-card","blog/credit-cards/pay-monthly-bills-with-credit-card","Credit Cards","345217","200","L","Credit Cards","2016-07-18 04:17:23","2015-07-24 08:16:45"
"127039","1","343624","2015-07-06","blog/recent-grad/student-loan-forgiveness-careers","blog/recent-grad/student-loan-forgiveness-careers","Loans","343624","301","L","Loans","2016-07-18 04:17:23","2015-07-07 16:57:59"
"179554","3","343924","2015-07-09","blog/health/2015/07/09/symbicort-cost-saving-strategies","blog/health/2015/07/09/symbicort-cost-saving-strategies","Health","343924","301","L","Health","2016-07-18 04:17:23","2015-07-10 08:16:38"
"119539","2","343506","2015-07-14","blog/grad/entry-level-finance-jobs","blog/grad/entry-level-finance-jobs","Loans","343506","301","N","Loans","2016-07-18 04:17:23","2015-07-14 08:16:56"
"81526","1","350464","2015-08-14","blog/tips/hacks-and-deals/preparing-military-deployment-financially-ready-5-essential-steps","blog/tips/hacks-and-deals/preparing-military-deployment-financially-ready-5-essential-steps","Credit Cards","350464","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-19 08:14:59"
"93039","3","349890","2015-08-15","blog/credit-card-debt-2/credit-card-debt-vs-installment-loans-pay","blog/credit-card-debt-2/credit-card-debt-vs-installment-loans-pay","Personal Finance","349890","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-17 08:12:22"
"137687","3","352094","2015-08-21","blog/finance/nerdwallet-finance/cost-raise-olympic-gold-medallist","blog/finance/nerdwallet-finance/cost-raise-olympic-gold-medallist","Personal Finance","352094","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-22 08:20:28"
"93039","3","123183","2014-12-18","blog/tips/credit-card-debt-vs-installment-loans-pay","blog/tips/credit-card-debt-vs-installment-loans-pay","Personal Finance","123183","301","L","Personal Finance","2016-07-18 04:17:23","2015-03-07 03:51:35"
"93173","2","85697","2014-12-19","blog/tips/should-i-pay-boyfriend-girlfriends-credit-card-debt","blog/tips/should-i-pay-boyfriend-girlfriends-credit-card-debt","Credit Cards","85697","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"96295","2","42507","2015-01-15","blog/cities/economics/best-school-districts-new-jersey","blog/cities/economics/best-school-districts-new-jersey","Mortgages","42507","301","N","Mortgages","2016-07-18 04:17:23","2015-03-07 03:51:35"
"179400","1","145910","2015-01-15","blog/health/2015/01/15/best-obamacare-health-insurance-plans-tennessee","blog/health/2015/01/15/best-obamacare-health-insurance-plans-tennessee","Health","145910","301","L","Health","2016-07-18 04:17:23","2015-03-07 03:51:35"
"96335","2","70886","2015-01-16","blog/tips/credit-score/bank-america-offers-customers-free-fico-scores-2015","blog/tips/credit-score/bank-america-offers-customers-free-fico-scores-2015","Credit Cards","70886","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"100041","4","27100","2015-02-19","blog/cities/best-places-invest-real-estate-florida","blog/cities/best-places-invest-real-estate-florida","Mortgages","27100","301","N","Mortgages","2016-07-18 04:17:23","2015-03-07 03:51:35"
"142342","1","599609","2015-03-04","blog/investing/2014/top-10-popular-ceo-names","blog/investing/2014/top-10-popular-ceo-names","Investing","599609","301","L","Investing","2016-07-18 04:17:23","2016-06-01 18:09:10"
"71207","1","348881","2015-08-13","blog/cities/homeownership-2/best-cities-homeownership-south-carolina","blog/cities/homeownership-2/best-cities-homeownership-south-carolina","Mortgages","348881","301","L","Mortgages","2016-07-18 04:17:23","2015-08-14 12:57:58"
"88548","1","349600","2015-08-13","blog/tips/help-your-child-build-good-credit","blog/tips/help-your-child-build-good-credit","Personal Finance","349600","301","N","Personal Finance","2016-07-18 04:17:23","2015-08-16 08:11:52"
"5370","1","349567","2015-08-14","blog/top-posts/union-plus-credit-card","blog/top-posts/union-plus-credit-card","Credit Cards","349567","301","D","Credit Cards","2016-07-18 04:17:23","2015-08-16 08:11:52"
"80250","4","349673","2015-08-14","blog/tips/consolidating-credit-card-debt-credit-score","blog/tips/consolidating-credit-card-debt-credit-score","Credit Cards","349673","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-16 08:11:52"
"80250","4","350401","2015-08-19","blog/credit-cards/credit-score/consolidating-credit-card-debt-credit-score","blog/credit-cards/credit-score/consolidating-credit-card-debt-credit-score","Credit Cards","350401","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-19 08:14:59"
"61374","5","350474","2015-08-19","blog/credit-cards/credit-score/too-many-credit-cards-hurt-fico-score","blog/credit-cards/credit-score/too-many-credit-cards-hurt-fico-score","Credit Cards","350474","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-19 08:14:59"
"49670","1","352322","2015-08-25","blog/finance/current-events/american-express-bluebird-offer-there","blog/finance/current-events/american-express-bluebird-offer-there","Credit Cards","352322","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-26 08:48:58"
"111356","4","349347","2015-08-15","blog/tips/debt-tips/credit-card-numbers-stolen","blog/tips/debt-tips/credit-card-numbers-stolen","Credit Cards","349347","301","N","Credit Cards","2016-07-18 04:17:23","2015-08-16 08:11:52"
"74173","1","349617","2015-08-14","blog/tips/income-factor-credit-card-approval-fico-score","blog/tips/income-factor-credit-card-approval-fico-score","Credit Cards","349617","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-16 08:11:52"
"107226","1","334593","2015-04-01","blog/tips/credit-score/business-credit-score-basics","blog/tips/credit-score/business-credit-score-basics","Credit Cards","334593","301","L","Credit Cards","2016-07-18 04:17:23","2015-04-02 11:10:24"
"57871","1","995939","2015-07-06","search/undefined/blog/family/best-towns-arizona-young-families","search/undefined/blog/family/best-towns-arizona-young-families","Mortgages","995939","404","N","Mortgages","2016-07-18 04:17:23","2016-06-22 22:04:03"
"132680","1","347497","2015-08-03","blog/cities/most-educated-top-cities-2015","blog/cities/most-educated-top-cities-2015","Other","347497","301","N","Other","2016-07-18 04:17:23","2015-08-04 14:19:03"
"49075","1","791856","2015-06-15","search/undefined/blog/small-business/small-business-checking-primer","search/undefined/blog/small-business/small-business-checking-primer","Banking","791856","404","L","Banking","2016-07-18 04:17:23","2016-06-01 18:09:10"
"164802","1","996239","2015-07-14","search/undefined/blog/nerdscholar/2014/expert-advice-8-tips-acing-phone-interview","search/undefined/blog/nerdscholar/2014/expert-advice-8-tips-acing-phone-interview","Loans","996239","404","L","Loans","2016-07-18 04:17:23","2016-06-22 22:04:03"
"164520","1","513266","2015-07-17","blog/nerdscholar/2015/engineering-computer-science-degrees","blog/nerdscholar/2015/engineering-computer-science-degrees","Loans","513266","301","L","Loans","2016-07-18 04:17:23","2016-06-01 01:22:19"
"156663","1","344868","2015-07-24","blog/insurance/2015/07/24/best-flood-insurance","blog/insurance/2015/07/24/best-flood-insurance","Insurance","344868","301","D","Insurance","2016-07-18 04:17:23","2015-07-25 08:20:58"
"132680","1","995757","2015-08-05","search/undefined/blog/cities/most-educated-top-cities-2015","search/undefined/blog/cities/most-educated-top-cities-2015","Other","995757","404","N","Other","2016-07-18 04:17:23","2016-06-22 22:04:03"
"20997","1","349689","2015-08-13","blog/household-bank/household-bank-credit-card-2-percent-for-bad-credit","blog/household-bank/household-bank-credit-card-2-percent-for-bad-credit","Credit Cards","349689","301","D","Credit Cards","2016-07-18 04:17:23","2015-08-17 08:12:22"
"100848","1","349506","2015-08-13","blog/cities/homeownership-2/best-places-invest-real-estate-washington","blog/cities/homeownership-2/best-places-invest-real-estate-washington","Mortgages","349506","301","N","Mortgages","2016-07-18 04:17:23","2015-08-15 08:12:09"
"92185","6","197071","2014-12-17","blog/tips/credit-score/apply-for-a-credit-card-without-a-social-security-number","blog/tips/credit-score/apply-for-a-credit-card-without-a-social-security-number","Credit Cards","197071","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"94040","1","109555","2014-12-24","blog/uncategorized/track-0-interest-credit-card-offer-expires","blog/uncategorized/track-0-interest-credit-card-offer-expires","Credit Cards","109555","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"98252","1","23042","2015-02-03","blog/cities/economics/best-cities-for-young-families-in-north-carolina-2015","blog/cities/economics/best-cities-for-young-families-in-north-carolina-2015","Mortgages","23042","301","N","Mortgages","2016-07-18 04:17:23","2015-03-07 03:51:35"
"119511","1","340721","2015-06-05","blog/tips/credit-score/credit-scores-change","blog/tips/credit-score/credit-scores-change","Personal Finance","340721","301","L","Personal Finance","2016-07-18 04:17:23","2015-06-09 09:17:00"
"143118","2","361936","2015-09-03","blog/investing/fbsyn/backdoor-roth-ira-high-income-how-to-guide","blog/investing/fbsyn/backdoor-roth-ira-high-income-how-to-guide","Investing","361936","301","L","Investing","2016-07-18 04:17:23","2015-09-04 08:17:59"
"156663","1","371741","2015-09-17","blog/insurance/property/best-flood-insurance","blog/insurance/property/best-flood-insurance","Insurance","371741","301","D","Insurance","2016-07-18 04:17:23","2015-09-18 17:35:42"
"143118","2","596617","2015-01-01","blog/.../backdoor-roth-ira-high-income-how-to-guide","blog/.../backdoor-roth-ira-high-income-how-to-guide","Investing","596617","301","L","Investing","2016-07-18 04:17:23","2016-06-01 18:09:10"
"178883","2","599130","2015-01-07","blog/health/2014/02/13/best-obamacare-health-insurance-plans-georgia","blog/health/2014/02/13/best-obamacare-health-insurance-plans-georgia","Health","599130","404","L","Health","2016-07-18 04:17:23","2016-06-01 18:09:10"
"164520","1","597789","2015-01-26","blog/blog/nerdscholar/2013/engineering-computer-science-degrees","blog/blog/nerdscholar/2013/engineering-computer-science-degrees","Loans","597789","301","L","Loans","2016-07-18 04:17:23","2016-06-01 18:09:10"
"102610","1","333166","2015-03-11","blog/zero-percent-introductory-purchase-apr-deals/calculate-true-interest-cost-0-credit-card","blog/zero-percent-introductory-purchase-apr-deals/calculate-true-interest-cost-0-credit-card","Credit Cards","333166","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-12 11:12:13"
"108679","1","335383","2015-04-08","blog/cities/best-cities-young-families-arizona-2015","blog/cities/best-cities-young-families-arizona-2015","Mortgages","335383","301","N","Mortgages","2016-07-18 04:17:23","2015-04-11 11:10:18"
"103060","8","599754","2015-04-03","blog/loans-borrowing/payday-loan-alternatives-dodge-debt-trap","blog/loans-borrowing/payday-loan-alternatives-dodge-debt-trap","Loans","599754","301","L","Loans","2016-07-18 04:17:23","2016-06-01 18:09:10"
"179467","5","336678","2015-04-23","blog/health/2015/04/24/epipen-coupon","blog/health/2015/04/24/epipen-coupon","Health","336678","301","D","Health","2016-07-18 04:17:23","2015-04-24 21:29:56"
"102610","1","349373","2015-08-13","blog/tips/debt-tips/calculate-true-interest-cost-0-credit-card","blog/tips/debt-tips/calculate-true-interest-cost-0-credit-card","Credit Cards","349373","301","L","Credit Cards","2016-07-18 04:17:23","2015-08-15 08:12:09"
"112217","26","349199","2015-08-14","blog/tips/debt-tips/car-repossessed-credit-score","blog/tips/debt-tips/car-repossessed-credit-score","Personal Finance","349199","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-15 08:12:09"
"112217","26","350564","2015-08-18","blog/credit-cards/credit-card-basics/car-repossessed-credit-score","blog/credit-cards/credit-card-basics/car-repossessed-credit-score","Personal Finance","350564","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-19 08:14:59"
"70265","1","350484","2015-08-19","blog/credit-cards/read-credit-report","blog/credit-cards/read-credit-report","Personal Finance","350484","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-19 08:14:59"
"112217","26","351351","2015-08-20","blog/credit-cards/credit-score/car-repossessed-credit-score","blog/credit-cards/credit-score/car-repossessed-credit-score","Personal Finance","351351","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-21 08:18:06"
"99693","2","348640","2015-08-13","blog/credit-cards/credit-card-basics/car-loan-affects-your-credit-report","blog/credit-cards/credit-card-basics/car-loan-affects-your-credit-report","Personal Finance","348640","301","L","Personal Finance","2016-07-18 04:17:23","2015-08-14 08:12:39"
"97302","10","117088","2015-02-11","blog/tips/credit-score/income-job-qualify-credit-card","blog/tips/credit-score/income-job-qualify-credit-card","Credit Cards","117088","301","L","Credit Cards","2016-07-18 04:17:23","2015-03-07 03:51:35"
"179427","1","167510","2015-02-18","blog/health/2015/02/18/how-much-does-lasik-cost","blog/health/2015/02/18/how-much-does-lasik-cost","Other","167510","404","L","Other","2016-07-18 04:17:23","2015-03-07 03:51:35"
